Level_ID,CERF_Level,From_Score_equivalent,To_Score_equivalent,Certificate
LV1,A1,120,220,TOEIC L-R
LV2,A2,225,545,TOEIC L-R
LV3,B1,550,780,TOEIC L-R
LV4,B2,785,940,TOEIC L-R
LV5,C1,945,990,TOEIC L-R
LV6,A1,80,155,TOEIC S-W
LV7,A2,160,235,TOEIC S-W
LV8,B1,240,305,TOEIC S-W
LV9,B2,310,355,TOEIC S-W
LV10,C1,360,400,TOEIC S-W
LV11,A1,1,2.5,IELTS (Listen - Reading - Speaking - Writing)
LV12,A2,3,3.5,IELTS (Listen - Reading - Speaking - Writing)
LV13,B1,4,5,IELTS (Listen - Reading - Speaking - Writing)
LV14,B2,5.5,6.5,IELTS (Listen - Reading - Speaking - Writing)
LV15,C1,7.5,8,IELTS (Listen - Reading - Speaking - Writing)
LV16,C2,8.5,9,IELTS (Listen - Reading - Speaking - Writing)
LV17,A1,8,29,TOEFL (Listen - Reading - Speaking - Writing)
LV18,A2,30,40,TOEFL (Listen - Reading - Speaking - Writing)
LV19,B1,41,64,TOEFL (Listen - Reading - Speaking - Writing)
LV20,B2,65,78,TOEFL (Listen - Reading - Speaking - Writing)
LV21,C1,79,95,TOEFL (Listen - Reading - Speaking - Writing)
LV22,C2,96,120,TOEFL (Listen - Reading - Speaking - Writing)
